NOMBRE;DIRECCION;TELEFONOS;HORARIOS;TIPO_SERVICIO;X;Y
Abitab 694;Gorleros/N1;42443015;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;687611.178192954;6129080.63767384
Abitab 72-17;Eduardomartinezmonegalesquinahectormiranda;43337221;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566297.41272767;6179680.3577048
Abitab 706;Eduardomartinezmonegal1;43337221;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566521.100557562;6179706.70255797
Abitab 709;Carafí1148c;23540712;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;570975.815915639;6145993.23932317
Abitab 72-19;Rutainterbalneariakm51estaciónancap;43735524;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;617654.106337161;6153865.41333059
Abitab 72-20;Av.Delparqueesq.Ecuadors/N;26833335;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;591316.392614537;6142515.18283158
Abitab 92-12;Caminopajasblancas8001,Local2;23123037;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;11086654.5392648;29361928.3170539
Abitab 71-3;Avda. De Las Instrucciones 1456 Esq. Edison;2354 03 95;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573845.584240261;6144841.0292198
Abitab 73-0;Avda. Gral. Flores 2422 Entre Blandengues Y Domingo Aramburú;2200 23 61 - 2200 85 35 - 2200 96 10;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574679.08543967;6139625.87309925
Abitab 73-1;Avda. 8 De Octubre 3758 Esq. José Serrato;2504 76 81;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578524.508074753;6140461.96048473
Abitab 74-0;Coronel Mora 571 Esq. Gral. Gregorio Suárez;2710 02 39;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;576904.527440566;6135578.92861786
